movieID	userid	Rating
1	1	5
1	10	4
1	101	3
1	102	3
1	106	4
1	108	4
1	109	4
1	117	4
1	120	4
1	121	4
1	124	3
1	125	4
1	128	4
1	13	3
1	130	5
1	131	4
1	134	5
1	137	3
1	138	4
1	141	3
1	144	4
1	145	3
1	148	4
1	15	1
1	150	4
1	151	5
1	157	5
1	158	4
1	16	5
1	160	4
1	162	4
1	168	5
1	17	4
1	174	3
1	177	3
1	178	4
1	18	5
1	181	3
1	182	4
1	184	4
1	189	5
1	193	4
1	194	4
1	198	4
1	199	1
1	2	4
1	20	3
1	200	5
1	201	3
1	202	3
1	203	3
1	204	2
1	209	5
1	21	5
1	210	5
1	213	2
1	216	4
1	222	4
1	223	4
1	23	5
1	230	5
1	231	3
1	232	4
1	234	3
1	235	4
1	242	4
1	243	4
1	244	4
1	246	4
1	247	4
1	248	3
1	249	4
1	25	5
1	250	4
1	251	4
1	252	5
1	253	5
1	254	3
1	256	5
1	26	3
1	262	3
1	263	5
1	265	5
1	268	3
1	271	3
1	274	4
1	275	4
1	276	5
1	277	4
1	279	3
1	280	4
1	286	4
1	287	5
1	289	3
1	290	5
1	291	5
1	292	4
1	293	2
1	294	5
1	295	4
1	296	5
1	297	3
1	298	5
1	299	3
1	301	4
1	303	5
1	305	5
1	307	5
1	308	4
1	311	4
1	312	5
1	313	4
1	314	5
1	320	3
1	322	2
1	324	5
1	325	2
1	326	3
1	327	4
1	330	5
1	331	1
1	332	4
1	336	3
1	338	3
1	339	5
1	340	5
1	343	5
1	344	3
1	345	3
1	347	4
1	348	4
1	350	4
1	357	5
1	359	4
1	360	3
1	363	2
1	365	4
1	371	4
1	374	4
1	378	4
1	379	4
1	38	5
1	380	4
1	381	5
1	387	4
1	388	5
1	389	4
1	390	5
1	393	3
1	394	4
1	395	5
1	396	4
1	398	5
1	399	4
1	401	2
1	402	5
1	403	4
1	406	4
1	407	4
1	41	4
1	411	4
1	412	4
1	416	5
1	417	4
1	419	4
1	42	5
1	422	3
1	424	1
1	425	2
1	429	3
1	43	5
1	432	2
1	434	4
1	435	5
1	438	4
1	44	4
1	441	5
1	445	3
1	447	3
1	45	5
1	450	4
1	454	3
1	455	4
1	456	2
1	457	4
1	458	4
1	459	4
1	460	2
1	463	1
1	465	4
1	467	4
1	468	5
1	470	3
1	471	4
1	472	5
1	478	4
1	479	5
1	483	4
1	484	5
1	486	4
1	487	5
1	488	3
1	49	2
1	490	3
1	493	3
1	494	3
1	495	4
1	497	4
1	5	4
1	500	4
1	503	5
1	505	3
1	508	5
1	512	4
1	514	5
1	517	3
1	518	4
1	521	2
1	523	5
1	525	4
1	526	5
1	532	5
1	533	4
1	534	5
1	535	3
1	536	5
1	537	2
1	54	4
1	540	3
1	541	4
1	542	4
1	545	5
1	548	4
1	549	5
1	550	3
1	552	3
1	553	3
1	554	3
1	56	4
1	560	4
1	561	2
1	562	2
1	567	3
1	569	4
1	57	5
1	576	4
1	577	5
1	579	4
1	58	5
1	580	3
1	582	4
1	588	4
1	59	2
1	592	4
1	593	3
1	597	3
1	599	4
1	6	4
1	602	4
1	605	4
1	606	5
1	609	1
1	610	4
1	612	4
1	613	4
1	614	5
1	618	4
1	62	2
1	620	5
1	621	3
1	622	3
1	624	4
1	63	3
1	630	4
1	632	3
1	634	3
1	635	4
1	636	3
1	637	4
1	64	4
1	642	5
1	643	5
1	648	5
1	649	5
1	65	3
1	650	3
1	653	4
1	654	4
1	655	2
1	657	3
1	658	4
1	66	3
1	660	3
1	661	5
1	663	4
1	664	4
1	665	4
1	669	5
1	67	3
1	674	4
1	676	5
1	677	4
1	678	5
1	679	3
1	680	4
1	682	4
1	684	4
1	689	3
1	690	4
1	691	5
1	692	4
1	697	5
1	698	4
1	699	3
1	70	4
1	701	4
1	703	4
1	705	5
1	706	4
1	708	5
1	709	4
1	710	4
1	714	3
1	715	5
1	716	5
1	72	4
1	721	5
1	723	3
1	726	4
1	727	3
1	73	2
1	730	4
1	731	2
1	733	2
1	735	4
1	738	5
1	742	4
1	744	4
1	745	2
1	746	4
1	747	5
1	748	4
1	749	4
1	75	4
1	751	3
1	756	4
1	757	4
1	759	5
1	761	1
1	763	4
1	764	4
1	767	5
1	768	5
1	769	4
1	77	5
1	770	5
1	771	5
1	773	3
1	777	4
1	779	4
1	785	4
1	786	4
1	788	3
1	789	3
1	79	4
1	790	3
1	792	4
1	793	4
1	794	4
1	795	4
1	796	2
1	798	4
1	800	4
1	804	5
1	805	4
1	806	4
1	807	4
1	81	4
1	815	5
1	817	4
1	82	4
1	821	5
1	822	4
1	823	4
1	826	4
1	829	4
1	83	4
1	830	4
1	831	4
1	835	3
1	838	5
1	839	4
1	84	2
1	843	3
1	847	3
1	852	4
1	854	3
1	864	5
1	865	1
1	867	4
1	868	4
1	870	5
1	872	3
1	879	4
1	880	4
1	881	4
1	882	5
1	883	3
1	885	5
1	886	4
1	887	5
1	889	3
1	89	5
1	890	4
1	892	5
1	893	5
1	894	4
1	895	4
1	896	4
1	897	5
1	899	3
1	901	5
1	902	5
1	903	3
1	907	5
1	910	4
1	913	2
1	916	4
1	917	3
1	918	3
1	919	4
1	92	4
1	921	3
1	922	5
1	923	3
1	924	5
1	927	5
1	929	3
1	93	5
1	930	3
1	932	4
1	933	3
1	934	2
1	935	3
1	936	4
1	938	4
1	94	4
1	941	5
